#node1,node2
IFNLR1,IL10RA
IFNLR1,IL15
IFNLR1,MX1
IGFBP2,PCSK6
IGFBP2,PPARGC1A
IGLL1,TFPI
IGLL1,NECTIN1
IGLL1,PVR
IGLL1,RAG2
IL10RA,IRF8
IL10RA,IL1R2
IL10RA,IL2RA
IL10RA,IL15
IL12RB2,IL2RA
IL12RB2,IL15
IL15,PVR
IL15,IL1R2
IL15,RAG2
IL15,NCR2
IL15,IL2RA
IL1R2,MMP2
IL1R2,NOS2
IL1R2,IL2RA
IL2RA,IRF8
IL2RA,REN
IL2RA,RAG2
IRF8,MX1
IRF8,TCF4
IRF8,SPIB
IRX3,IRX5
ISG20,MX1
ITGA9,LAMA3
ITGA9,PTK2
ITPKA,SV2B
ITPKA,PLCB4
JAKMIP2,PTK2
KCNA3,RPS4Y1
KCNA3,KCNA5
KCNA5,RPS4Y1
KCNA5,KCNIP1
KCNK10,PLD2
KCNQ5,RPS4Y1
KDM5D,ZFY
KDM5D,RPS4Y1
KDM5D,TMSB4Y
KDM5D,NR1I2
KDM5D,PRKY
KDM5D,USP9Y
KDM5D,UTY
KIF1A,RETREG1
KIF1A,UNC13B
KRT17,KRT5
KRT17,KRT8
KRT17,KRT18
KRT18,KRT5
KRT18,PXDN
KRT18,PROM1
KRT18,KRT8
KRT5,PROM1
KRT5,LAMA3
KRT5,PXDN
KRT5,KRT8
KRT8,TWIST1
KRT8,PXDN
KRT8,PROM1
LAMA3,MMP2
LAMA3,PLAT
LAMA3,MMP19
LAMA3,NTNG2
LAMA3,SV2B
LAMA3,PTK2
LANCL3,PRRG1
LHX6,LMX1B
LHX6,SALL2
LILRA4,SPIB
LILRA4,LILRB4
LPAR4,LPAR6
LPAR6,PTGER3
LRP1,MMP2
LRP1,PLAT
LRP1,MDK
LRP6,SERPINF1
LRP6,PTPRF
LRP6,SOSTDC1
LRP6,MDK
LRP6,WNT5A
LRP6,WNT7B
MACROD2,MACROH2A2
MAMDC2,PTPRM
MAN1A1,UGGT2
MAOA,PDK4
MAOA,PXDN
MAOA,POMC
MAP1LC3A,PXDN
MAP1LC3A,RETREG1
MAP1LC3A,PRSS57
MAP1LC3A,OPTN
MDFI,SPRY1
MDK,MMP2
MDK,WNT5A
MGAT5B,RBPMS
MMP15,TIMP3
MMP19,MMP2
MMP19,TIMP3
MMP2,MPO
MMP2,PROM1
MMP2,REN
MMP2,WNT5A
MMP2,VCAN
MMP2,POMC
MMP2,NRP1
MMP2,TGFBI
MMP2,PTK2
MMP2,PLAT
MMP2,TWIST1
MMP2,PXDN
MMP2,SPARC
MMP2,TIMP3
MMP28,TIMP3
MPO,PLAT
MPO,NOS2
MPO,PRSS57
MPO,RNASE3
MPP6,PVR
MPP6,NECTIN1
MST1R,SEMA6A
MYLK,SLC2A10
NCR2,PVR
NECTIN1,PVR
NECTIN1,PARD3
NEFH,PRPH
NEFH,S100B
NEFH,OPTN
NEURL1B,PDE9A
NOS2,PXDN
NOS2,REN
NOS2,SPSB4
NPR3,REN
NPTX1,SGCE
NR1I2,ZFY
NR1I2,PPARGC1A
NR1I2,NR5A2
NR1I2,USP9Y
NR1I2,UTY
NR5A2,PPARGC1A
NRP1,SEMA6A
NRP1,SEMA3C
NRP1,TBX1
NRP1,NRP2
NRP1,PLXNA4
NRP2,SEMA6A
NRP2,SEMA3C
NRP2,PLXNA4
NTNG2,UNC5C
OPTN,RETREG1
P2RY14,PTGER3
PARD3,WNT5A
PAWR,SPSB4
PCDHB2,PCDHGB2
PCDHGB1,PCDHGB2
PCDHGB2,PCDHGB7
PCDHGB2,PCDHGB6
PDK4,PPARGC1A
PGM5,SGCE
PLAT,PXDN
PLAT,REN
PLAT,TFPI
PLAT,SERPINF1
PLXNA4,SEMA6A
PLXNA4,SEMA3C
POMC,SCT
POMC,PXDN
POMC,PPARGC1A
POMC,REN
POMC,TRH
PPARGC1A,TFPI
PPARGC1A,TWIST1
PPARGC1A,PXDN
PPARGC1A,TMIGD2
PPARGC1A,SNRPN
PPARGC1A,TBX1
PPP1R26,RPS4Y1
PPP1R26,PPP1R27
PPP1R26,UTY
PPP1R26,SELENOP
PPP1R9A,SGCE
PRKY,ZFY
PRKY,RPS4Y1
PRKY,TMSB4Y
PRKY,USP9Y
PRKY,UTY
PROM1,TWIST1
PROM1,PXDN
PROM1,TCF4
PTGFRN,TSPAN15
PTK2,PXDN
PTK2,UNC5C
PTPRF,VCAN
PXDN,SPARC
PXDN,TWIST1
PXDN,SPON1
PXDN,REN
RAB23,WDR35
RASAL1,SPRED1
RASAL1,RASAL2
RASAL2,SPRED1
RASAL2,SEC16B
RBPMS,RBPMS2
REN,SUCNR1
ROBO4,SPRED1
RPH3A,UNC13B
RPS4Y1,ZFY
RPS4Y1,SELENOP
RPS4Y1,TMSB4Y
RPS4Y1,UTY
RPS4Y1,USP9Y
S100A1,S100B
S100A1,S100A16
S100A1,SLC8A1
SELENOP,TIMP3
SERPINF1,TFPI
SERPINF1,TIMP3
SGCE,SNRPN
SMOC1,SPARC
SPARC,VCAN
SPARC,SPRY2
SPARC,TIMP3
SPARC,SPRY1
SPARC,TGFBI
SPIB,TCF4
SPRED1,SPRY2
SPRY1,SPRY2
TCF4,TWIST1
TGFBI,VCAN
TMSB4Y,ZFY
TMSB4Y,USP9Y
TMSB4Y,UTY
TNFRSF19,TNFRSF21
TPSAB1,TPSD1
TPSAB1,TPSB2
TPSB2,TPSD1
TWIST1,WNT5A
USP9Y,ZFY
USP9Y,UTY
UTY,ZFY
VANGL1,WNT5A
WNT5A,WNT7B
WWTR1,ZNF521
,
